Name,Completed,Time,Result,ExitCode,Verified
maxsquare-9-52-UNSAT-ccdclPlusModes,Success,58.526,UNSAT,20,-
maxsquare-9-52-UNSAT-ccdclPlus,Success,43.362,UNSAT,20,-
maxsquare-9-52-UNSAT-roundingSAT,Success,5000.101,UNKNOWN,-1,-
maxsquare-9-52-UNSAT-sat4j,Success,5000.15,UNKNOWN,-1,-
magicsq-10-reencode,Success,5000.493,UNKNOWN,-1,-
magicsq-11-reencode,Success,5000.76,UNKNOWN,-1,-
magicsq-12-reencode,Success,5001.166,UNKNOWN,-1,-
magicsq-3-reencode,Success,0.015,SAT,10,VerSAT
magicsq-4-reencode,Success,0.197,SAT,10,VerSAT
magicsq-5-reencode,Success,58.748,SAT,10,VerSAT
magicsq-6-reencode,Success,246.547,SAT,10,VerSAT
magicsq-7-reencode,Success,1099.649,SAT,10,VerSAT
magicsq-8-reencode,Success,4487.789,SAT,10,VerSAT
magicsq-9-reencode,Success,5000.13,UNKNOWN,-1,-
maxsquare-10-61-SAT-reencode,Success,24.334,SAT,10,VerSAT
maxsquare-10-62-UNSAT-reencode,Success,5000.004,UNKNOWN,-1,-
maxsquare-7-32-SAT-reencode,Success,0.012,SAT,10,VerSAT
maxsquare-7-33-UNSAT-reencode,Success,0.176,UNSAT,20,-
maxsquare-8-41-SAT-reencode,Success,0.617,SAT,10,VerSAT
maxsquare-8-42-UNSAT-reencode,Success,0.716,UNSAT,20,-
maxsquare-9-51-SAT-reencode,Success,57.829,SAT,10,VerSAT
maxsquare-9-52-UNSAT-reencode,Success,22.823,UNSAT,20,-
