Name,Completed,nOrigCls,nOrigVar,real_time,user_time
02223564bd2f5c20768e63cf28c785e3-mp1-squ_ali_s10x10_c39_abio_SAT,Success,5207,1672,0.624,0.272
02257f12aa71e6622d2bf4d0f7111ebf-sgen1-unsat-139-100.cnf.mis-105.debugged,Success,29337,14841,0.166,0.091
0227c865edaeda75e13eea36d57b7eed-sdiv40prop,Success,63831,21554,34.168,15.109
022b841952d37f0d6a0d050c9b4b0071-goldb-heqc-i8mul,Success,91139,14524,0.557,0.265
022dc7e9935f3570c088db58bd84b2c6-mrpp_6x6#12_8,Success,21659,3893,0.782,0.435
02404a08ea36dd43362bbddc578c839d-ctl_4201_555_unsat,Success,144538,17374,0.598,0.472
0240f5bddc39ad2f0a786c811fc434a8-SC21_Timetable_C_542_E_71_Cl_36_S_35,Success,2762964,395916,445.254,209.371
0241f35c5752768d2b0580533d143a14-53-131587,Success,834621,31983,4.278,3.904
024af9416f8c1dad1b4f974757e38d51-8-5-6,Success,1739432,74124,6.576,5.078
0261b44c278c36459061c368aa00575a-EDP3-12000,Success,750397,100282,1.84,1.188
02627689047d06fbb642eef14768d751-ps_200_300_70,Success,1533706,312901,588.383,276.741
0278eee117c3821771e2d18d710a89ad-equilarge_l5.sat05-522.reshuffled-07,Success,18519,4478,1.121,1.06
028d0cc7af63e9bba5795f20e24db4f6-pyhala-braun-sat-35-4-04.shuffled,Success,23811,7383,1.234,0.666
0294158664d9ada36bd23fbb652cb823-smtlib-qfbv-aigs-countbits128-tseitin,Success,287041,95810,1.453,1.135
0297c2a35f116ffd5382aea5b421e6df-Urquhart-s3-b3.shuffled-as.sat03-1556,Success,376,45,0.005,0.003
02b69d0e5c2b68d5c3d650164b6c277d-Q3inK08,Success,1680,28,0.01,0.005
02bc149bbe801807912f651c7bad3e74-dead-dnd008.shuffled-as.sat05-3114,Success,13423,1568,0.04,0.023
02c3f1d24074cba45a64d0b4b5aa0238-g2-hwmcc15deep-bobpcihm-k32,Success,566666,204319,181.607,85.545
02c6fe8483e4f4474b7ac9731772535d-ncc_none_7047_6_3_3_0_0_420,Success,5359707,1484350,10.265,5.627
02cfa5a71b5c89a1b10b5f5a5221ed05-clauses-8,Success,4572347,1461772,1040.695,1023.418
02d8847ee38504792705d794eb93e9a7-traffic_b_unsat,Success,742909,26061,3.169,2.488
02eef920cd1aab9ef3492fe27bf515c4-php-025-024.shuffled-as.sat05-1191,Success,7225,600,0.504,0.02
02f2343e32f9070f149708d77556b4aa-Kakuro-easy-117-ext.xml.hg_5,Success,17999151,145123,54.77,39.317
03041657b7177746724b819433c83b20-blocks-4-ipc5-h21-unknown,Success,905605,136756,150.05,148.049
0309ea422084568c2b4df13b32094380-rbsat-v945c61409gyes1,Success,61409,945,0.383,0.352
031757c0a6797eddf3e84bcefbbdb753-b2005-p2-14x14c17h9-Ser4-0,Success,14387361,147983,57.192,44.27
031c99d72be38eedacc8b402784e9821-partial-10-17-u,Success,1111612,298516,32.829,18.843
033560dbd1b4d3545b4b40ef90aaaa29-total-5-15-u,Success,770580,219756,6.099,4.673
0336f81b60baac5b8f481dd3c32861a5-mod4block_2vars_10gates_u2_autoenc-sc2009,Success,87605,479,0.219,0.132
033743e540b7f6e2114a3e6981558795-li-test4-97.shuffled-as.sat03-375,Success,142424,36809,0.606,0.452
033d611722714d5206cc0184479e92e2-urqh2x5.shuffled-as.sat03-1473,Success,432,53,0.004,0.002
033f38da07bdbbad4763eaf1fe97ce37-AProVE07-27,Success,28202,7729,9.561,4.778
035c200bbf0a783e4ec9656cfa9b2f68-vmpc_34.shuffled-as.sat05-1958-sc2005,Success,194072,1156,0.514,0.386
036b541db9d0839b0591d408ff4f77ae-aes_decry_2_rounds.debugged,Success,1024365,279120,14.141,13.082
0379936c75c225f1a9a113762b019da6-AProVE09-17,Success,106474,33894,127.026,58.388
037c423f56548082b1935e88c48ffdda-3col120_5_2.shuffled,Success,990,240,0.352,0.177
037d21e060a2e3eab8b080aa84ceee75-mm-1x10-10-10-sb.1.shuffled-as.sat03-1489,Success,83733,2396,0.208,0.136
0398e6b20de133ba8b49c74b67dad7b7-6s133-sc2014,Success,140965,48258,285.221,261.508
039b45f4a3979c9176b115bb8e88342f-genurq8Sat.shuffled-as.sat03-1514,Success,1118,249,0.005,0.002
03a1a18521814692f56a8ecbea0031d4-ablmulub2x32o-sc2016,Success,15431,5241,9.743,4.59
03a1ada3e778fcec8a7ee0c9e685d4be-connm-ue-csp-sat-n1200-d-0.02-s1528687777.used-as.sat04-953,Success,13729,1156,0.027,0.011
03a43a7ea55217f53542ed3f029963af-satch2ways16w,Success,50558,16883,0.268,0.221
03b75ba4f3a1bdcc58c89e6846eecaab-x2_128.shuffled-as.sat03-1598,Success,1018,382,0.005,0.003
03ba29d5cb38d345357a74a7b5ccd759-20-100-lambda100-49_sat,Success,157688,20396,0.753,0.593
03bb7baaa45980753a0e7050ae44755d-atco_enc3_opt1_03_53,Success,3987169,1296235,19.119,15.37
03c44a93577c98119dc498053888937a-ctl_4291_567_1_unsat_pre,Success,147244,15232,0.613,0.476
03c5fef8cb8957ecf687548c8d504d10-SGI_30_80_21_90_2-log.shuffled-as.sat03-198,Success,36422,105,0.114,0.07
03c8a9ffce923a8cb3452f18d371eacf-rook-55-0-1,Success,668242,172312,1.422,0.967
03cb9868146a1c420ba8e3b1b08865b8-3col300_5_2.shuffled,Success,2520,600,0.322,0.178
03d1d6df36fdec5be7b60e6f0cd382f7-3col280_5_8.shuffled,Success,2350,560,0.318,0.178
03d8064f3be30daecf2ffe4c54361e61-edges-025-4-7932777-1-00,Success,212,101,0.003,0.001
03d93f5c0378205e17260e16e463ac67-TimetableCNFEncoding_5_UNKNOWN-sc2018,Success,1699311,302576,314.155,154.97
03de316ba1e90305471a3b8620cb9cd7-satsgi-n23himBHm26-p0-q248,Success,14076,598,0.035,0.03
03f25e67e52baf9fb1e782026d46c8a8-rope_0003.shuffled,Success,252,108,0.005,0.002
03fb9af7b390fe9e0739150ca3410cf0-4g_5color_166_100_02,Success,73351130,166000,1138.484,1070.966
04071576275e4113b60c21601b364345-marg2x5.shuffled-as.sat03-1443,Success,120,35,0.004,0.001
04121f3fbe313b7046c9f54ac1e26c75-mod3block_2vars_9gates_u2_autoenc,Success,62939,426,0.154,0.099
0412f6f3174dfc4c27ad0b61280cd739-SGI_30_40_30_20_2-dir.shuffled-as.sat05-442,Success,65258,900,0.393,0.359
04157f716c1e9606c6a530657bf8f957-Kakuro-easy-125-ext.xml.hg_4,Success,20230286,145714,60.076,41.617
0415acae197134f9d1cd7bea5ac3f2fd-jgiraldezlevy.2200.9086.08.40.136,Success,9086,2200,0.019,0.011
041699620802b7ed905f93976ae60bef-longmult9,Success,12051,4321,0.621,0.344
041ef0a56340a623c38e6b9012933624-shuffling-2-s554396412-of-bench-sat04-318.used-as.sat04-598,Success,4188,285,0.015,0.01
0421d8c1dec913b76dc72d781a864a80-dead-dnd006.shuffled-as.sat05-3112,Success,12095,1064,0.035,0.021
04283728b84c4b0ff6cb44ca4bc4ab65-new-difficult-28-302-26-75,Success,48442,728,0.245,0.209
042846b7b23a617ad1730e9eb2dbdceb-ctl_4291_567_9_unsat_pre,Success,169583,15232,0.708,0.545
04327b18171b43ff06586707499b97fc-hypercube4.shuffled-as.sat03-1434,Success,128,32,0.003,0
043f806db615f7a138d4beffe3367c1a-frb45-21-1.used-as.sat04-883,Success,61855,945,0.352,0.317
04411a580ede5fd258d84ce872b5f53b-EDP3-50000,Success,3732114,489072,9.425,6.118
0445a4d6be24882bac0988a055e7f379-unsat-set-a-fclqcolor-20-13-14.sat05-1278.reshuffled-07-sc2007,Success,43124,730,0.085,0.049
0447371bb8a97e8fe5d3cee6de1db766-UTI-20-10p0-sc2009,Success,1058485,259616,8.42,7.493
044d27388c142e8e47812d9518e01b2f-shuffling-2-s2123257475-of-bench-sat04-327.used-as.sat04-589,Success,33199,5248,0.128,0.097
044eced3d5aac22e0f34ad02071132f7-Q32inK10,Success,38430,45,0.12,0.081
04557a22f623dcbae86173fced057c99-baseballcover14with25,Success,2796041,1404586,13.586,10.89
045613366353b062992e68937ca53edf-mrpp_6x6#14_12,Success,34902,5969,0.958,0.539
0458851a021830f297e5dc3418ece838-g2-T96.1.1,Success,32322587,8905808,1127.922,1089.018
0462a0427297f8979588174b502bd044-mod2c-rand3bip-sat-230-1.shuffled-as.sat05-2503,Success,2220,322,0.008,0.003
0463b72200ae80c02835c027d3606c4e-battleship-13-25-sat,Success,2119,325,0.01,0.005
04674c7c9520c7edc0426b820f837726-hwb-n30-01-S682466202.shuffled-as.sat03-1632,Success,954,194,0.005,0.003
047c92e7c0a36a23d8107f4313517719-rubikcube701-sc2017,Success,50759,3066,0.129,0.077
048a70da40ea4908c783b8314be2da97-aes_32_2_keyfind_1,Success,4744,528,0.018,0.013
0491901f00c8663e5b49a0dbbf96412f-rbsat-v945c61409g4,Success,61409,945,0.349,0.316
04935c7718d4ada8516e0d99c46df41b-g2-newton.8.3.i.smt2-cvc4,Success,1309690,302735,33.865,23.421
04b2a7f442ed1b15439d0678ce902d6f-f2clk_40.shuffled,Success,59703,27568,1.389,0.878
04d28cb98f3362dfcd4ab74d4bb82de3-ex065_24,Success,362855,74804,1.319,0.993
04d2cca932a87b98ebfc7bbd0fe6ed5d-safe009_pso.oepc_true-unreach-call.i-cbmc-u2,Success,221509,44822,23.055,11.425
04dd37bd8e319df958e1e091ec60de5b-gensys-icl003.shuffled-as.sat05-2715,Success,7362,1472,0.03,0.017
04e219c640ed59dc68ea2d50493de5b5-mp1-Nb5T15,Success,25200,6360,0.074,0.049
04e50bc7a121716e396dc538ab24490e-5col120_15_5.shuffled,Success,4680,360,0.014,0.007
04f8b455b41f208ea19769f051ddcb1b-equilarge_l2.shuffled-as.sat05-519,Success,18555,4487,1.198,1.135
04f9f1f61d99108b7ad0fa77d275dc4c-3col260_5_9.shuffled,Success,2180,520,0.193,0.104
04fa0a71339fa76067a75ff448ef6f67-sat-strips-gripper-12t23.sat05-1144.reshuffled-07,Success,92964,4940,0.76,0.674
050214ecbd9e96136fe1bc73447f1303-easier-php-035-029.sat05-1179.reshuffled-07,Success,17290,1015,0.053,0.046
0506d033a4ca469af10d95dbf36a86e9-em_7_4_9_cmp,Success,15063,1677,0.037,0.028
0521cd68355dd16e8f7940f43003d904-crafted_n10_d6_c4_num10,Success,11133928,42048,1018.9590000000001,1002.019
0533a1506eb61460bee3917f61ca4c49-SGI_30_80_29_60_7-dir.shuffled-as.sat03-217,Success,71374,870,0.509,0.473
0534387f90398a24495d4b7b05f9b342-dated-5-13-u,Success,474702,138808,4.322,3.222
055836a43eb318de92f09c555ba4f3b5-3col160_5_6.shuffled,Success,1330,320,0.336,0.176
055db8f900741c7b8d7b731e99662588-rnd-v25-e13-k3,Success,407505,26575,1.449,1.083
055f942145df4b6c9fd0d10a3f1da98e-atco_enc1_opt1_15_240,Success,611956,61642,3.039,2.409
05680de3febd39916e496dd772cb8c19-minor032,Success,12009,4210,2.223,1.583
057f143aae50b8abc3e083b7609353be-g2-T133.2.1,Success,14677117,4219737,395.091,379.011
05817b4e1add561af0e1165e01fb48cc-q_query_3_l45_lambda,Success,145663,32313,0.572,0.393
0587f345cca3ef8340e8e71829dce130-VanDerWaerden_2-3-12_135,Success,5251,135,0.014,0.007
0593e6814f02ec9749e87bdc6aff8275-mrpp_6x6#14_10,Success,28327,4931,0.996,0.485
05b04d362b374569a4eb63c4e4e132b7-mp1-9_3,Success,14708,1458,0.04,0.024
05c52a5f9133f5afca84767f2eff98fa-g2-T103.2.1,Success,10335595,2943830,205.691,194.233
05c5ff612371a5773e857212174f625b-ezfact64_9.shuffled-as.sat03-1525,Success,19521,3073,0.043,0.022
05df4430054ceba4fa065806e8c65041-SGI_30_80_23_90_10-log.shuffled-as.sat03-202,Success,41532,115,0.129,0.079
05e5b5a37a0d7cb5e96c82b84bbdca66-Mycielski-11-hints-3,Success,3942415,15350,31.362,27.905
05eb87eb6fecb7a8a3bdc25154412c1d-VanDerWaerden_pd_2-3-24_592,Success,47000,296,0.11,0.065
05ed840c0a907e88e475c931f40fab83-bqwh.50.750.shuffled-as.sat05-434,Success,26027,3572,0.115,0.102
05eee75ab69270c322b9ef6bc1ee8604-slp-synthesis-aes-bottom22,Success,167040,53118,0.764,0.596
05f3a48298721d68cded8618b432e7c3-s85-100,Success,180,85,0.003,0.001
05f5567936f582edc0d3ea9903f540bc-sgen1-sat-230-100,Success,552,230,0.005,0.003
05fb1e489956554f9115344bce4e71c7-partial-10-11-u-sc2007,Success,623806,188962,20.79,11.802
05fbbab9f0baf819ed9593cca8587629-satsgi-n24himBHm28-p0-q282,Success,16824,672,0.044,0.036
060b7ed7ef9e59576b9ee62c998a5103-bvslt_13916,Success,982464,1215303,6.529,5.55
0614e1ae5100ee0aca4ea24424479fa3-hwb-n32-01-S1491788039.shuffled-as.sat03-1637,Success,1078,226,0.005,0.002
06166a0dd78f45c213add974a6711dfe-barman-pfile10-038.sas.cr.25,Success,6280232,119262,57.68,50.149
0616ca6b1e0ae639d12e19ed310963a9-satcoin-genesis-SAT-4,Success,647048,134781,8.265,4.364
06172049e6804cbfb07f993023f2684f-VanDerWaerden_pd_2-3-29_809,Success,86429,405,0.214,0.136
062f58e44eb73f9274b57af5092cad90-rook-51-0-0,Success,532891,137748,1.175,0.77
06326dd7bab63b892d2c147d5928468c-smtlib-qfbv-aigs-bin_libsmbsharemodes_vc6201-tseitin,Success,464564,164332,405.668,191.466
06385be5ecfc7df22b2c956093cef85f-depots3_v01a.renamed-as.sat05-3950,Success,75738,1498,0.473,0.382
064ba3c61c5f105104edec8305853711-puzzle35_sat,Success,99263,26823,137.041,64.905
066813ab5f3b7b1cc6d2847c37f5fae7-ezfact32_10.shuffled,Success,4641,769,0.013,0.007
066d6a47dfd9648d913ba8dbce722d75-slp-synthesis-aes-bottom16,Success,91575,29254,0.402,0.313
06872e73223dc74c76b06f37a185dc22-VanDerWaerden_2-3-16_238,Success,15812,238,0.033,0.022
